Susan C. Alberts,F,AAAS
Jeanne Altmann,F,AAAS
Wyatt W. Anderson,M,AAAS
Janis Antonovics,M,AAAS
Stevan James Arnold,M,AAAS
Peter Shaw Ashton,M,AAAS
William R. Atchley,M,AAAS
John Charles Avise,M,AAAS
Francisco J. Ayala,M,AAAS
Anna Katherine Behrensmeyer,F,AAAS
Kurt Benirschke,M,AAAS
Albert F. Bennett,M,AAAS
May Berenbaum,F,AAAS
Olle Erik Bjorkman,M,AAAS
Meredith M. Blackwell,F,AAAS
William Hines Bossert,M,AAAS
James Hemphill Brown,M,AAAS
James Bull,M,AAAS
Guy L. Bush,M,AAAS
John Jr. Cairns,M,AAAS
Stephen Russell Carpenter,M,AAAS
Sean B. Carroll,M,AAAS
Ted J. Case,M,AAAS
Hal Caswell,M,AAAS
F. Stuart Chapin III,M,AAAS
Dorothy L. Cheney,F,AAAS
Sallie W. Chisholm,F,AAAS
James Samuel Clark,M,AAAS
Michael Tran Clegg,M,AAAS
Joel Ephraim Cohen,M,AAAS
Jonathan J. Cole,M,AAAS
Phyllis D. Coley,F,AAAS
Robert K. Colwell,M,AAAS
Joseph Hurd Connell,M,AAAS
Jerry Allen Coyne,M,AAAS
Peter Robert Crane,M,AAAS
Alfred Walter Crompton,M,AAAS
Gretchen C. Daily,F,AAAS
Margaret Bryan Davis,F,AAAS
Edward Francis DeLong,M,AAAS
Frans de Waal,M,AAAS
Jared Mason Diamond,M,AAAS
Michael John Donoghue,M,AAAS
Scott Vernon Edwards,M,AAAS
Anne H. Ehrlich,F,AAAS
Paul Ralph Ehrlich,M,AAAS
Stephen T. Emlen,M,AAAS
John A. Endler,M,AAAS
Paul G. Falkowski,M,AAAS
Marcus William Feldman,M,AAAS
Joseph Felsenstein,M,AAAS
Christopher Bower Field,M,AAAS
Steven A. Frank,M,AAAS
Jerry Forest Franklin,M,AAAS
Jed A. Fuhrman,M,AAAS
Douglas Joel Futuyma,M,AAAS
Philip D. Gingerich,M,AAAS
Arturo Gomez-Pompa,M,AAAS
Eville Gorham,M,AAAS
B. Rosemary Grant,F,AAAS
Peter R. Grant,M,AAAS
Harry Greene,M,AAAS
Bryan Thomas Grenfell,M,AAAS
David Haig,M,AAAS
Daniel L. Hartl,M,AAAS
Alan Hastings,M,AAAS
